"","Week","Value"
"2",1,99.8643251216351
"3",2,99.7286502432701
"4",3,99.5929753649052
"5",4,99.4573004865403
"6",5,99.3216256081753
"7",6,98.9193640843294
"8",7,98.5171025604835
"9",8,98.1148410366376
"10",9,97.7125795127917
"11",10,91.7400812397819
"12",11,85.7675829667721
"13",12,79.7950846937623
"14",13,73.8225864207525
"15",14,70.6604368560931
"16",15,67.4982872914337
"17",16,64.3361377267743
"18",17,61.1739881621149
"19",18,58.0118385974555
"20",19,57.7969941114385
"21",20,57.5821496254214
"22",21,57.3673051394043
"23",22,57.1524606533872
"24",23,57.0588763349121
"25",24,56.9652920164369
"26",25,56.8717076979618
"27",26,56.7781233794866
"28",27,57.0736164113747
"29",28,57.3691094432629
"30",29,57.664602475151
"31",30,57.9600955070391
"32",31,58.2555885389272
"33",32,58.0729065463411
"34",33,57.8902245537549
"35",34,57.7075425611688
"36",35,57.5248605685826
"37",36,57.8470280778124
"38",37,58.1691955870423
"39",38,58.4913630962721
"40",39,58.8135306055019
"41",40,58.8152166656015
"42",41,58.8169027257011
"43",42,58.8185887858007
"44",43,58.8202748459003
"45",44,58.8219609059999
"46",45,62.238997744942
"47",46,65.6560345838841
"48",47,69.0730714228262
"49",48,72.4901082617683
"50",49,72.5108506819085
"51",50,72.5315931020486
"52",51,72.5523355221888
"53",52,72.5730779423289
"54",53,72.593820362469
"55",1,72.7329991229877
"56",2,72.8721778835064
"57",3,73.0113566440251
"58",4,73.1505354045438
"59",5,73.4826136887933
"60",6,73.8146919730429
"61",7,74.1467702572924
"62",8,74.4788485415419
"63",9,74.3064126127649
"64",10,74.133976683988
"65",11,73.961540755211
"66",12,73.789104826434
"67",13,73.6728218037125
"68",14,73.556538780991
"69",15,73.4402557582695
"70",16,73.3239727355481
"71",17,73.2076897128266
"72",18,73.3462448911328
"73",19,73.484800069439
"74",20,73.6233552477453
"75",21,73.7619104260515
"76",22,73.9109347039658
"77",23,74.05995898188
"78",24,74.2089832597943
"79",25,74.3580075377086
"80",26,74.3199791568669
"81",27,74.2819507760253
